model_name,friction_tier,candidate_row_count,selected_row_count,selected_share,mean_net_edge,median_net_edge,selected_mean_net_edge,selected_mean_simulated_realized_net_per_contract
raw,fee_only,409,0,0.0,-0.008728457106607577,-0.008049158658453126,,
raw,fee_spread,409,0,0.0,-0.013731468924931727,-0.013053949897330608,,
raw,fee_spread_slippage,409,0,0.0,-0.01873448074325588,-0.01805874113620809,,
platt,fee_only,409,0,0.0,-0.01592465160150721,-0.019767783656092663,,
platt,fee_spread,409,0,0.0,-0.02092766341983136,-0.02476846811878941,,
platt,fee_spread_slippage,409,0,0.0,-0.025930675238155516,-0.029769152581486158,,
beta,fee_only,409,0,0.0,-0.015908966111250478,-0.01993202350137474,,
beta,fee_spread,409,0,0.0,-0.020911977929574627,-0.02493270796407153,,
beta,fee_spread_slippage,409,0,0.0,-0.025914989747898784,-0.029933392426768318,,
isotonic,fee_only,409,57,0.1393643031784841,-0.016247030049381658,-0.016889273292681972,0.05490885616294789,0.11208998496103367
isotonic,fee_spread,409,55,0.13447432762836187,-0.02125004186770581,-0.02189885577043693,0.05100709007267651,0.108138130515836
isotonic,fee_spread_slippage,409,52,0.1271393643031785,-0.02625305368602996,-0.02690843824819189,0.04770983720336463,0.10481901227820777
binned_reliability,fee_only,409,18,0.044009779951100246,-0.04361077651482247,-0.03142848081159558,0.02929025070451922,-0.05491478999923948
binned_reliability,fee_spread,409,11,0.02689486552567237,-0.04861378833314662,-0.03643327205047306,0.028162235166280712,-0.020475746686578325
binned_reliability,fee_spread_slippage,409,11,0.02689486552567237,-0.05361680015147078,-0.04143806328935054,0.023158423953537264,-0.02547955789932177
hierarchical_eb,fee_only,409,211,0.5158924205378973,0.038965405231972366,0.020489310619937896,0.09503409960737842,0.005423089092551688
hierarchical_eb,fee_spread,409,190,0.46454767726161367,0.03396239341364821,0.015488626157241114,0.09819174845003184,0.003941777197125256
hierarchical_eb,fee_spread_slippage,409,176,0.43031784841075793,0.028959381595324064,0.010487941694544332,0.0992175196476102,-0.00447142217445243
