trade_side,model_name,friction_tier,candidate_row_count,selected_row_count,assumed_contracts,capacity_source,selected_total_simulated_realized_net,selected_total_effective_cost
YES,raw,fee_only,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,raw,fee_spread,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,raw,fee_spread_slippage,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,platt,fee_only,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,platt,fee_spread,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,platt,fee_spread_slippage,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,beta,fee_only,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,beta,fee_spread,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,beta,fee_spread_slippage,492612,0,1.0,fixed_config_assumption_no_order_book_depth,0.0,0.0
YES,isotonic,fee_only,492612,3283,1.0,fixed_config_assumption_no_order_book_depth,-31.122397145579107,2180.1223971455793
YES,isotonic,fee_spread,492612,2115,1.0,fixed_config_assumption_no_order_book_depth,-54.57120658749054,1374.5712065874905
YES,isotonic,fee_spread_slippage,492612,1137,1.0,fixed_config_assumption_no_order_book_depth,-29.61288263286583,748.6128826328659
YES,binned_reliability,fee_only,492612,34605,1.0,fixed_config_assumption_no_order_book_depth,-180.95942629209398,26991.959426292095
YES,binned_reliability,fee_spread,492612,27355,1.0,fixed_config_assumption_no_order_book_depth,-243.60939737292625,22609.60939737293
YES,binned_reliability,fee_spread_slippage,492612,20876,1.0,fixed_config_assumption_no_order_book_depth,-221.4913850564682,17947.49138505647
YES,hierarchical_eb,fee_only,492612,178035,1.0,fixed_config_assumption_no_order_book_depth,-4516.338816781852,85676.33881678186
YES,hierarchical_eb,fee_spread,492612,159848,1.0,fixed_config_assumption_no_order_book_depth,-5024.771667024027,77352.77166702403
YES,hierarchical_eb,fee_spread_slippage,492612,142160,1.0,fixed_config_assumption_no_order_book_depth,-5374.164972897548,68863.16497289755
